New_Group	Group	Order	Taxa	NDVI_37DAP_2017	NDVI_44DAP_2017	NDVI_60DAP_2017	NDVI_73DAP_2017	NDVI_115DAP_2017	FT_2017	PH_2017	EH_2017
sweet corn	sweet corn	694	AMES22028	116.91	122.28	128.58	127.02	117.45	69	107	42
unclassified	unclassified	695	PI591014	103.98	118.07	125.07	125.11	134.15	90	143	77
unclassified	unclassified	696	AMES23444	115.03	122.21	123.91	123.78	107.92	71	141	73
unclassified	unclassified	697	NSL438023	112.89	123.41	126.27	130.3	133.14	87	104	36
unclassified	unclassified	698	CIZE42	116.54	125.27	128.82	130.77	129.75	83	145	96
unclassified	unclassified	699	PI594078	117.12	126.29	130.32	132.9	130.24	78	98	38
non-stiff stalk	non-stiff stalk	700	PI587149	117.12	125.94	130.64	131.3	134.18	77	148	55
sweet corn	sweet corn	701	PI587126	113.46	122.89	123.11	126.1	123.79	60	74	11
unclassified	unclassified	702	PI200194	116.02	122.82	128.02	130.5	136.84	82	168	76
unclassified	unclassified	703	PI568158	115.21	122.45	127.66	128.73	129.41	85	144	74
sweet corn	sweet corn	704	AMES28364	115.43	124.06	129.14	126.69	122.43	70	113	47
sweet corn	sweet corn	705	PI567792	116.85	123.86	128.43	130.57	132.05	75	103	26
unclassified	unclassified	706	PI558516	113.42	123.13	127.13	129.77	129.94	88	134	71
unclassified	unclassified	707	PI594059	118.25	124.88	127.68	128.54	129.07	78	131	62
sweet corn	sweet corn	708	PI358534	117.3	125.58	126.39	126.86	127.75	73	125	52
unclassified	unclassified	709	PI186218	108.82	118.94	126.04	128.26	125.72	82	144	82
stiff stalk	stiff stalk	710	PI539923	118.25	125.01	129.86	132.16	136.86	77	144	48
unclassified	unclassified	711	PI343953	116.16	124.58	128.77	127.57	113.63	66	133	50
non-stiff stalk	non-stiff stalk	712	PI601403	116.51	123.37	128.46	131.94	135.99	86	118	53
stiff stalk	stiff stalk	713	PI601610	118.42	125.07	130.23	131.66	128.52	69	144	63
unclassified	unclassified	714	PI561533	115.24	125.52	129.91	130.62	132.36	82	180	111
unclassified	unclassified	715	NSL67796	112.78	122.68	128.26	130.37	129.68	87	166	82
unclassified	unclassified	716	PI594063	111.38	120.27	125.75	129.13	130.1	86	143	46
unclassified	unclassified	717	PI391670	111.37	122.52	127.05	127.29	124.32	67	99	32
unclassified	unclassified	718	AMES28931	113.91	125	130.9	129.95	134.79	96	184	78
unclassified	unclassified	719	PI595366	117.36	124.89	128.88	130.98	136.78	77	125	70
unclassified	unclassified	720	NSL29287	111.58	122.06	126.03	131.23	134.46	88	90	47
sweet corn	sweet corn	721	AMES22029	112.85	120.84	126.35	123.9	126.37	67	70	26
tropical	tropical	722	AMES27082	119.24	125.7	131.5	131.53	135.19	92	166	83
unclassified	unclassified	723	AMES27107	114.87	121.94	125.21	124.43	116.83	67	114	31
unclassified	unclassified	724	PI546484	115.42	123.75	129.17	130.91	136.04	83	165	81
sweet corn	sweet corn	725	PI233313	114.74	122.99	126.35	125.05	122.97	64	91	32
unclassified	unclassified	726	NSL53086	115.96	123.73	128.79	130.48	134.5	98	173	84
unclassified	unclassified	727	AMES19321	117.95	125.42	129.4	133.02	133.43	80	146	55
unclassified	unclassified	728	AMES10260	113.29	123.68	129.64	132.05	139.56	100	136	65
stiff stalk	stiff stalk	729	PI511310	120.75	125.87	128.92	131.19	130.48	78	144	72
unclassified	unclassified	730	AMES28420	120.62	126.07	128.97	130.42	133.47	78	160	79
unclassified	unclassified	731	PI550521	119.34	127.01	130.79	131.68	134.96	80	155	79
unclassified	unclassified	732	PI538237	117.54	123.73	128.19	128.59	127.62	66	117	49
sweet corn	sweet corn	733	AMES22034	112.36	122.3	122.92	121.18	121.58	66	68	5
popcorn	unclassified	734	PI340862	110.16	120.43	127.69	130.74	127.53	78	112	45
unclassified	unclassified	735	AMES28940	116.85	127.25	129.8	131.62	131.7	81	122	65
popcorn	popcorn	736	PI340850	112.46	121.09	126.21	127.47	129.42	81	174	96
unclassified	unclassified	737	PI596501	114.02	123.91	129.96	129.68	125.91	76	133	66
unclassified	unclassified	738	PI559946	117.12	124.16	130.71	130.58	133.31	75	156	90
popcorn	popcorn	739	AMES28985	118.52	127.14	129.99	128.43	130.96	72	94	56
unclassified	unclassified	740	AMES26791	113.97	123.15	127.51	130.46	136.94	84	137	71
unclassified	unclassified	741	PI568159	113.55	121.75	128.2	130.59	134.45	85	142	63
unclassified	unclassified	742	PI198896	107.24	118.53	125.72	131	136.17	92	99	48
unclassified	unclassified	743	AMES26115	118.12	125.6	131.39	132.15	133.12	78	155	76
unclassified	unclassified	744	PI550695	116.81	125.88	129.47	126.49	127.84	71	121	50
stiff stalk	stiff stalk	745	PI550483	115.04	126.08	130.9	132.1	136.08	75	141	62
unclassified	unclassified	746	NSL34374	116.83	124.58	130.24	128.05	128.26	70	179	69
unclassified	unclassified	747	PI550468	120.72	125.38	129.58	130.46	135.4	80	84	27
tropical	tropical	748	AMES28185	116.04	123.35	129.9	131.57	136.53	91	161	90
