New_Group	Group	Order	Taxa	NDVI_37DAP_2017	NDVI_44DAP_2017	NDVI_60DAP_2017	NDVI_73DAP_2017	NDVI_115DAP_2017	FT_2017	PH_2017	EH_2017
unclassified	unclassified	922	PI198906	115.49	124.15	129.3	128.38	129.76	83	121	68
sweet corn	sweet corn	923	AMES22012	113.36	123.55	126.01	124.82	126.06	70	89	23
unclassified	unclassified	924	NSL437896	111.93	121.08	128.54	126.28	131.71	85	159	64
unclassified	unclassified	925	PI257517	112.82	122.65	125.63	126.36	127.05	74	124	65
popcorn	unclassified	926	PI340853	114.36	122.27	127.73	127.79	132.77	74	148	71
sweet corn	sweet corn	927	AMES22050	114.29	122.91	126.98	123.41	118.21	71	89	23
sweet corn	sweet corn	928	AMES22055	109.01	117.27	122.05	124.02	133.12	73	93	25
unclassified	unclassified	929	AMES19013	123.67	127.52	131.06	131.08	137	81	174	73
unclassified	unclassified	930	AMES12823	115.16	122.21	126.92	129.51	132.21	80	134	61
sweet corn	sweet corn	931	AMES22058	111.52	120.1	124.39	122.74	129.23	72	75	18
unclassified	unclassified	932	PI517971	112.3	120.74	125.65	124.75	128.34	80	103	48
popcorn	popcorn	933	AMES28995	116.44	123.26	128.27	127.37	128.65	74	128	66
unclassified	unclassified	934	PI533659	118.61	125.8	129.98	129.57	132.67	72	97	55
sweet corn	sweet corn	935	AMES26812	116.72	123.22	118.65	122.59	116.87	56	65	14
unclassified	unclassified	936	PI550443	111.51	121.43	128.08	127.81	130.14	91	109	55
non-stiff stalk	non-stiff stalk	937	PI597926	119.48	125.64	130.61	130.7	134.1	85	148	70
unclassified	unclassified	938	AMES24708	119.09	126.01	129.57	130.74	124.04	67	118	70
unclassified	unclassified	939	AMES26123	112.19	122.13	129.69	132.06	130.62	91	160	75
unclassified	unclassified	940	PI405705	118.63	125.46	127.53	126.87	127.74	71	145	87
unclassified	unclassified	941	AMES28929	117.66	123.8	127.81	129.99	131.45	91	153	82
unclassified	unclassified	942	PI553059	114.35	122.97	127.52	123.87	126.35	78	165	83
unclassified	unclassified	943	AMES23486	114.3	123.98	128.01	128.06	124.74	70	145	42
unclassified	unclassified	944	NSL437989	119.34	125.28	128.06	129.96	125.48	83	133	66
unclassified	unclassified	945	AMES28948	114.37	125.77	128.6	131.14	128.61	83	170	65
unclassified	unclassified	946	PI303940	108.81	120.53	125.29	127.15	128.25	76	129	73
unclassified	unclassified	947	PI604605	115.61	122.59	127.51	129.39	136.32	82	115	45
unclassified	unclassified	948	PI538244	117.03	123.94	124.71	125.64	126.27	76	165	89
sweet corn	sweet corn	949	PI358537	117.09	125.66	127.66	128.31	125.35	76	160	28
stiff stalk	stiff stalk	950	AMES26767	109.48	120.04	122.58	121.45	126.83	73	160	77
unclassified	unclassified	951	AMES26774	116.33	121.83	125.55	129.51	131.36	91	146	81
popcorn	popcorn	952	AMES28977	117.64	124.22	129.43	130.35	133.54	74	141	80
unclassified	unclassified	953	NSL28968	113.73	123.51	127.32	131.79	129.31	81	116	29
non-stiff stalk	non-stiff stalk	954	PI601320	107.98	117.19	125.58	132.85	131.77	87	147	42
unclassified	unclassified	955	NSL32739	119.89	124.29	127.52	125.35	118.71	66	121	57
tropical	tropical	956	PI550907	110.32	120.48	126.43	134.21	139.67	100	195	110
unclassified	unclassified	957	NSL30890	111.61	122.94	126.66	132.44	132.39	82	151	75
sweet corn	sweet corn	958	AMES22032	115.57	122.04	127.73	126.52	121.1	70	113	23
unclassified	unclassified	959	NSL30902	113.33	124.37	127.31	132.71	126.84	83	150	74
unclassified	unclassified	960	NSL68211	114.69	122.31	125.73	128.5	126.72	78	129	77
popcorn	unclassified	961	PI340863	114.17	122.62	127.45	128.99	128.35	76	111	55
unclassified	unclassified	962	AMES19010	110.39	120.93	128.06	129.1	137.35	83	137	53
unclassified	unclassified	963	NSL29305	122.18	129.68	131.76	131.8	131.45	76	136	74
unclassified	unclassified	964	PI406128	115.39	125.09	130.03	129.13	134.72	78	136	56
non-stiff stalk	non-stiff stalk	965	PI547086	112.12	122.03	129.04	132.08	133.45	78	150	65
unclassified	unclassified	966	PI391414	119.57	127.09	129.78	130.29	131.96	71	161	56
unclassified	unclassified	967	PI340813	118.4	123.21	127.46	128.13	130.8	77	163	73
popcorn	unclassified	968	PI542715	114.57	123.21	126.83	131.68	133.44	80	139	64
non-stiff stalk	non-stiff stalk	969	PI601791	115.91	122.56	127.8	128.52	126.79	77	144	71
unclassified	unclassified	970	AMES23448	113.83	122.1	126.74	128.31	112.74	68	114	45
non-stiff stalk	non-stiff stalk	971	AMES24747	116.02	123.38	127.94	129.51	132.75	80	146	78
unclassified	unclassified	972	NSL30907	115.25	123.51	131.25	135.35	138.75	77	63	18
unclassified	unclassified	973	PI560074	115.43	124.76	130.09	130.26	135.25	79	155	60
unclassified	unclassified	974	AMES26118	116.24	123.32	127.25	129.51	128.92	89	139	71
unclassified	unclassified	975	PI550504	116.49	123.42	125.39	126.39	124.78	65	96	41
unclassified	unclassified	976	NSL437913	119.92	125.95	129.74	133.13	130.05	79	193	95
unclassified	unclassified	977	AMES23500	113.71	120.32	124.12	123.7	124.86	67	118	34
unclassified	unclassified	978	AMES28945	113.21	122.58	127.24	128.9	127.8	77	98	48
unclassified	unclassified	979	AMES26130	117.09	123.51	127.22	129.25	128.86	91	198	97
unclassified	unclassified	980	AMES28291	117.42	124.47	130.06	130.81	134.39	98	183	102
unclassified	unclassified	981	AMES23502	110.96	118.84	125.88	126.32	130.23	72	135	48
unclassified	unclassified	982	NSL30861	116.44	123.83	130.59	132.37	123.7	86	150	43
unclassified	unclassified	983	AMES24727	120.26	128.62	130.12	130.07	129.32	76	114	44
unclassified	unclassified	984	NSL30863	112.6	122.01	127.99	128.8	128.81	80	130	54
unclassified	unclassified	985	NSL437962	109.95	122.7	126.97	125.59	131.78	92	110	51
unclassified	unclassified	986	AMES26028	113.57	122.22	125.48	125.85	124.53	84	195	94
unclassified	unclassified	987	PI553054	116.95	126.76	128.73	125.82	125.89	71	98	40
unclassified	unclassified	988	AMES26798	115.56	120.82	127.02	129.09	132.72	76	118	66
unclassified	unclassified	989	AMES10287	109.92	119.61	125.95	126.59	128.58	74	143	68
unclassified	unclassified	990	NSL30878	112.67	121.12	126.41	127.23	123.23	78	149	72
non-stiff stalk	non-stiff stalk	991	PI601208	116.8	124.61	131.21	130.22	137.3	74	126	46
stiff stalk	stiff stalk	992	PI550462	118.57	125.29	127.93	128.65	127.15	78	168	84
stiff stalk	stiff stalk	993	PI537097	120.99	125.71	130.1	132.08	136.1	79	126	45
unclassified	unclassified	994	AMES26131	117.4	125.29	128.33	127.55	128.7	89	183	98
unclassified	unclassified	995	NSL29319	115.17	122.16	129.62	131.04	134.34	74	118	52
sweet corn	stiff stalk	996	AMES26763	117.68	124.68	129.02	135.96	128.96	82	169	94
unclassified	unclassified	997	AMES12815	116.6	124.49	128.25	128.22	128.11	81	131	63
sweet corn	sweet corn	998	AMES22033	119.16	125.05	128.2	127.58	122.13	71	130	62
unclassified	unclassified	999	CIZE28	110.91	122.56	129.27	130.7	135.83	83	159	82
unclassified	unclassified	1000	PI391676	109.79	118.54	125.93	127.3	139.95	83	135	85
popcorn	unclassified	1001	PI553058	114.66	121.89	127	128.93	132.78	80	130	68
unclassified	unclassified	1002	AMES12818	118.12	126.14	128.67	129.22	130.84	78	133	55
unclassified	unclassified	1003	AMES28413	117.45	124.42	131.32	129.49	134.29	82	120	49
tropical	tropical	1004	PI639931	114.33	123.63	132.13	131.7	136.92	92	173	98
unclassified	unclassified	1005	PI538238	117.08	124.14	126.7	127.3	119.68	66	128	29
popcorn	popcorn	1006	AMES29005	115.76	123.35	129.53	130.4	135.4	83	120	57
popcorn	popcorn	1007	AMES28973	115.48	123.24	128.39	128.84	128.3	72	113	50
sweet corn	sweet corn	1008	AMES26815	116.31	123.41	129.44	125.11	115.39	64	59	16
non-stiff stalk	non-stiff stalk	1009	NSL28965	114.67	123.35	128.1	129.46	124.84	83	174	72
sweet corn	sweet corn	1010	AMES22066	114.5	121.49	128.21	128.93	127.04	72	107	42
tropical	tropical	1011	PI641070	117.89	122.93	131.06	133.82	134.54	80	155	79
popcorn	popcorn	1012	PI340846	113.49	121.85	127.53	130.09	133.81	81	135	62
stiff stalk	stiff stalk	1013	PI550565	117.94	123.86	128.88	129.01	118.2	69	115	56
non-stiff stalk	non-stiff stalk	1014	AMES19006	123.9	126.65	129.53	132.28	135.2	80	168	66
unclassified	unclassified	1015	PI608777	121.05	127.61	130.29	129.25	134.31	74	117	65
unclassified	unclassified	1016	PI257513	113.28	122.68	127.58	124.97	120.07	69	119	46
unclassified	unclassified	1017	NSL437915	113.34	122.83	128.66	129.5	134.91	90	155	81
non-stiff stalk	non-stiff stalk	1018	AMES19328	118.88	125.8	130.33	131.28	131.59	80	171	69
unclassified	unclassified	1019	PI406107	115.46	127.36	130.31	131	134.09	80	160	93
sweet corn	unclassified	1020	PI506412	112.18	119.94	127.91	127.92	132.5	70	140	65
sweet corn	unclassified	1021	PI506411	111.36	121.77	126.6	130.36	126.16	69	105	30
unclassified	unclassified	1022	AMES27167	117.79	126.53	128.57	129.43	132.23	80	138	80
sweet corn	sweet corn	1023	AMES22048	115.47	121.77	130.01	127.55	129.77	71	105	32
non-stiff stalk	non-stiff stalk	1024	PI601726	117.2	123.36	127.93	127.34	125.29	71	121	39
unclassified	unclassified	1025	AMES26780	115.71	123.59	128.87	130.53	130.23	81	181	90
unclassified	unclassified	1026	PI634206	113.42	121.46	125.13	127.65	130.02	85	142	60
unclassified	unclassified	1027	AMES23456	115.97	123.27	128.26	131.82	130.41	70	155	61
non-stiff stalk	non-stiff stalk	1028	PI601466	120.18	124.93	127	131.25	125.71	77	117	37
stiff stalk	stiff stalk	1029	PI587140	116.23	123.48	128.1	128.77	131.98	76	152	73
non-stiff stalk	non-stiff stalk	1030	PI601006	115.16	123.31	127.45	128.2	131.06	75	128	74
unclassified	unclassified	1031	AMES27144	114.65	123.67	131.41	130.18	134.16	91	165	86
unclassified	unclassified	1032	AMES19019	118.48	125.26	127.96	130.9	129.57	82	144	79
unclassified	unclassified	1033	AMES26126	115.86	122.95	129.62	130.69	132.1	88	157	100
popcorn	popcorn	1034	AMES26004	114.01	121.88	128.97	128.62	126.61	69	125	50
sweet corn	non-stiff stalk	1035	AMES26766	111.22	123.21	126.81	129.32	130.67	77	132	60
unclassified	unclassified	1036	AMES24712	111.62	119.74	124.04	128.56	128.37	78	135	51
unclassified	unclassified	1037	AMES23467	118.77	123.34	128.73	129.32	131.06	71	125	57
stiff stalk	stiff stalk	1038	AMES28419	120.01	126.44	132.19	133.05	137.68	78	155	85
unclassified	unclassified	1039	AMES23429	114.49	120.83	124.53	123.84	119.7	69	113	50
unclassified	unclassified	1040	AMES26781	114.29	124.16	128.99	131.09	131.93	80	165	85
unclassified	unclassified	1041	PI595616	113.36	123.01	125.03	124.07	118.37	67	110	36
unclassified	unclassified	1042	NSL30071	114.42	122.68	126.63	129.9	127.8	77	122	58
unclassified	unclassified	1043	PI587145	113.79	123.61	130.18	128.9	135.06	82	171	73
unclassified	unclassified	1044	PI186193	109.42	121.73	126.69	130.21	131.38	76	116	40
unclassified	unclassified	1045	AMES28290	114.16	121.76	127.28	124.99	108.65	67	115	57
unclassified	unclassified	1046	AMES23493	118.91	126.18	129.22	130.49	128	73	148	78
stiff stalk	stiff stalk	1047	AMES23494	116.09	122.38	128.78	129.71	132.27	75	135	54
unclassified	unclassified	1048	AMES19316	117.5	125.05	128.81	126.09	124.95	66	115	54
unclassified	unclassified	1049	AMES23441	117.91	122.56	127.54	125.4	120.9	66	113	52
unclassified	unclassified	1050	NSL437971	113.65	123.02	127.02	126.53	126.57	90	135	63
unclassified	unclassified	1051	NSL437956	114.42	123.27	129.08	128.82	134.02	98	140	85
unclassified	unclassified	1052	AMES28942	113.16	122.02	127.73	131.42	132.01	89	134	75
non-stiff stalk	non-stiff stalk	1053	PI601567	115.62	125.53	128.46	128.62	131	72	139	64
unclassified	unclassified	1054	AMES23464	116.67	124.65	128.75	130.31	129.59	78	118	51
stiff stalk	stiff stalk	1055	NSL30058	115.5	123.99	129.7	131.27	127.41	72	134	60
unclassified	unclassified	1056	NSL32728	114.99	124.01	126.93	126.14	112.46	65	150	37
unclassified	unclassified	1057	PI538229	117.98	126.83	126.95	129.23	130.27	77	134	67
popcorn	popcorn	1058	PI553062	115.84	125	129.48	127.9	129.16	70	120	68
sweet corn	sweet corn	1059	PI358539	117.41	123.9	127.54	128.61	126.2	68	140	72
unclassified	unclassified	1060	PI558521	113.89	118.32	125.55	127.77	130.76	84	178	83
non-stiff stalk	non-stiff stalk	1061	PI601497	115.91	123.92	127.56	127.86	126.3	72	125	56
non-stiff stalk	non-stiff stalk	1062	PI531083	114.13	123.65	129.06	128.88	133.22	82	159	75
unclassified	unclassified	1063	PI535921	122.34	127.27	129.83	128.1	121.29	64	109	54
unclassified	unclassified	1064	PI548800	120.12	126.66	128.75	130.33	137.9	82	154	68
unclassified	unclassified	1065	NSL30906	114.02	123.37	131.36	132.6	135.37	84	121	32
unclassified	unclassified	1066	PI406124	109.57	121.25	129	129.64	133.2	96	209	98
unclassified	unclassified	1067	AMES14113	116.06	126.11	131.34	132.63	134.15	91	153	79
unclassified	unclassified	1068	AMES23405	115.17	125.66	129.79	130.62	131.94	75	137	62
unclassified	unclassified	1069	PI596500	115.14	121.78	128.36	130.61	129.17	84	101	50
popcorn	unclassified	1070	PI596506	114.28	122.67	128.01	126.71	128.55	80	110	43
stiff stalk	stiff stalk	1071	PI539926	120.01	124.04	128.78	131.23	134.83	77	123	50
stiff stalk	stiff stalk	1072	PI600729	119.01	126	127.89	129.72	129.48	78	147	67
popcorn	popcorn	1073	AMES28992	116.41	125.13	128.2	131.22	129.52	76	175	119
unclassified	unclassified	1074	AMES23400	110.12	120.79	126.5	128.06	126.9	74	154	53
unclassified	unclassified	1075	AMES23480	118.34	121.74	128.43	130.3	131.39	74	125	65
non-stiff stalk	non-stiff stalk	1076	AMES19284	118.06	125.16	129.38	132.26	134.92	83	157	64
popcorn	unclassified	1077	AMES29024	115.37	123.5	128.57	131.59	127.04	82	155	106
stiff stalk	stiff stalk	1078	AMES27160	122.75	126.28	129.63	132.93	132.08	76	160	72
unclassified	unclassified	1079	PI601458	117.37	124.66	127.74	126.76	127.36	70	136	54
unclassified	unclassified	1080	AMES10256	120.64	123.94	129.86	130.41	135.88	89	147	61
unclassified	unclassified	1081	AMES24733	116.79	124.54	129.61	131.1	122.56	70	178	67
unclassified	unclassified	1082	AMES24714	115.17	123.47	123.76	124.65	117.74	70	127	46
unclassified	unclassified	1083	AMES2330	117.52	124.33	129.54	128.24	124.36	69	124	63
unclassified	unclassified	1084	NSL30869	111.82	121.97	128.62	129.72	133.55	73	112	42
unclassified	unclassified	1085	PI535925	117.61	124.5	126.19	126.04	120.61	64	141	62
stiff stalk	stiff stalk	1086	PI601565	117.52	125.35	128.36	130.41	126.33	70	143	80
popcorn	popcorn	1087	AMES28996	115.33	123.91	125.89	129.13	126.25	80	154	77
unclassified	unclassified	1088	PI619430	113.2	123.82	129.8	130.78	137.12	96	136	69
unclassified	unclassified	1089	AMES2337	115.59	124.02	127.54	129.54	131.55	79	120	63
stiff stalk	stiff stalk	1090	AMES28423	112.98	122.86	129.06	128.08	132.97	77	145	74
sweet corn	sweet corn	1091	AMES22020	114.34	120.69	126.23	123.36	123.59	67	108	30
unclassified	unclassified	1092	AMES26775	117.2	124.35	128.27	130.87	130.19	84	120	41
sweet corn	sweet corn	1093	PI358530	115.07	124.7	128.88	128.98	127.75	70	107	40
unclassified	unclassified	1094	NSL438032	115.32	122.64	126.5	127.22	131.44	94	169	93
stiff stalk	stiff stalk	1095	PI600954	118.91	124.77	129.64	128.56	131.58	73	146	47
popcorn	popcorn	1096	AMES28978	113.77	124.52	129.46	128.45	132.45	73	104	68
unclassified	unclassified	1097	NSL30055	119.79	127.32	130.3	129.32	120.82	70	144	60
unclassified	unclassified	1098	PI601559	122.25	128.7	132.18	132.51	136.62	75	154	82
unclassified	unclassified	1099	AMES27152	120.83	127.41	130.45	133.16	137.41	82	186	95
unclassified	unclassified	1100	AMES20140	113.99	122.2	126.31	125.63	124.25	67	102	43
unclassified	unclassified	1101	AMES19004	118.01	123.41	127.9	130	134.07	83	111	58
unclassified	unclassified	1102	NSL437933	114.14	124.15	128.89	129.91	136.57	80	162	79
unclassified	unclassified	1103	NSL65868	113.31	120.81	126.37	130.59	122.82	80	152	68
stiff stalk	stiff stalk	1104	AMES27142	119.69	125.33	127.68	129.96	130.15	76	161	71
landraces	landraces	1105	AMES30535	118.29	124.7	129.6	130.57	136.49	118	175	134
unclassified	unclassified	1106	AMES24742	121.99	125.68	130.08	129.48	124.97	73	116	58
stiff stalk	stiff stalk	1107	PI601004	120.68	124.99	128	132.6	127.58	75	149	58
unclassified	unclassified	1108	PI415079	110.76	119.38	124.83	124.74	115.57	63	90	39
sweet corn	sweet corn	1109	AMES22035	116.29	123.04	124.55	122.36	128.32	66	94	21
sweet corn	sweet corn	1110	AMES27120	108.52	119.75	126.12	129.57	131.1	85	108	44
unclassified	unclassified	1111	NSL438029	111.51	120.66	128.14	131.24	132.34	87	169	64
unclassified	unclassified	1112	NSL437937	110.6	125.51	130.7	130.93	133.46	94	139	70
unclassified	unclassified	1113	PI522250	119.98	126.74	129.07	126.67	116.33	65	82	37
unclassified	unclassified	1114	NSL42875	113.91	123.06	129.11	131.09	128.12	76	166	85
sweet corn	sweet corn	1115	PI509046	115.77	124.71	129.31	129.11	130.78	78	155	60
popcorn	popcorn	1116	PI340874	113.37	125.56	128.34	127.42	132.73	82	156	82
non-stiff stalk	non-stiff stalk	1117	AMES28425	118.51	126.47	130.34	132.2	134.08	82	163	73
tropical	tropical	1118	AMES30855	116.28	126.12	128.9	129.33	135.09	95	155	81
unclassified	unclassified	1119	AMES23439	115.28	123.07	127.27	125.27	124.69	68	130	47
non-stiff stalk	non-stiff stalk	1120	PI547090	118.35	125.75	128.99	132.89	136.64	79	172	66
unclassified	unclassified	1121	PI535901	118.97	125.45	123.88	120.94	121.72	64	92	33
unclassified	unclassified	1122	PI550553	117.08	123.7	124.87	131.82	130.46	57	65	24
unclassified	unclassified	1123	NSL30895	115.35	123.34	127.79	129.19	124.04	80	173	79
tropical	tropical	1124	PI550909	115.22	123.29	126.52	125.92	131.1	94	152	72
unclassified	unclassified	1125	PI594090	118.41	125.43	129.44	130.24	133.39	84	155	61
stiff stalk	stiff stalk	1126	AMES26138	115.53	123.92	127.34	127.84	132.65	85	143	51
stiff stalk	stiff stalk	1127	AMES28422	118.38	126.16	129.3	128.65	130.4	75	163	75
unclassified	unclassified	1128	PI550517	112.84	123.36	125.88	125.11	124.08	85	150	71
unclassified	unclassified	1129	PI198893	109.66	120.67	128.81	128.58	130.91	79	135	80
unclassified	unclassified	1130	PI340829	110.1	118.16	123.17	124.68	126.4	73	50	18
unclassified	unclassified	1131	PI558526	115.2	124.71	130.3	132.52	137.07	90	178	82
non-stiff stalk	non-stiff stalk	1132	PI587143	115.76	124.08	127.88	127.3	125.07	70	145	50
stiff stalk	stiff stalk	1133	AMES27161	121.44	126.74	130.75	133.4	136.19	82	171	86
popcorn	popcorn	1134	AMES29019	117.9	121.97	128.45	131.36	132.81	77	127	73
unclassified	unclassified	1135	AMES19007	116.42	123.54	127.15	129.19	130.3	92	165	56
popcorn	popcorn	1136	AMES29011	117.02	125.17	130.82	129.23	133.49	76	139	58
unclassified	unclassified	1137	PI538008	120.12	128.07	128.04	131.18	129.97	72	162	70
unclassified	unclassified	1138	PI606769	113.01	122	127.61	130.33	124.15	76	146	55
unclassified	unclassified	1139	AMES24585	116.09	123.64	124.77	125.91	119.6	69	114	40
sweet corn	sweet corn	1140	AMES22030	116.72	126.5	127.94	129.55	123.31	72	102	50
non-stiff stalk	non-stiff stalk	1141	PI587153	115.05	123.81	128.07	127.39	126.72	71	98	42
non-stiff stalk	non-stiff stalk	1142	AMES28426	114.36	120.58	121.01	127.64	131.59	75	111	32
unclassified	unclassified	1143	AMES28361	117.74	125.65	129.82	133.08	129.67	79	158	78
unclassified	unclassified	1144	NSL32730	108.21	122.18	123.78	128	131.64	74	135	74
unclassified	unclassified	1145	PI200185	119.79	126.16	128.25	129.8	129.15	77	185	82
unclassified	unclassified	1146	AMES23455	113.92	120.94	127.94	127.64	120.35	70	144	57
unclassified	unclassified	1147	PI594080	115	124.43	128.45	130.5	132.58	81	166	97
unclassified	unclassified	1148	NSL30867	114.2	124.33	130.95	130.38	131.98	76	114	53
popcorn	popcorn	1149	AMES28989	113.88	121.88	126.71	131.46	132.14	76	120	72
tropical	tropical	1150	AMES27096	118.34	125.09	130.5	130.93	135.3	95	143	76
unclassified	unclassified	1151	AMES24738	113.98	123.29	126.88	126.66	122.03	70	144	45
unclassified	unclassified	1152	PI547089	114.81	124.61	129.96	132.4	134.39	80	165	82
unclassified	unclassified	1153	PI555660	118.66	127.31	128.59	132.77	139.02	78	164	69
non-stiff stalk	non-stiff stalk	1154	AMES14115	120.38	125.54	130.61	131.82	135.27	82	134	52
stiff stalk	stiff stalk	1155	PI601468	117.44	125.52	129.48	131.36	134.02	76	159	73
unclassified	unclassified	1156	AMES23413	111.59	118.75	125.98	128.86	116.46	80	130	58
unclassified	unclassified	1157	AMES20136	108.09	119.73	125.49	126.03	119.83	87	155	60
sweet corn	sweet corn	1158	NSL8583	116.83	125.16	130.97	130.02	127.05	72	85	25
tropical	tropical	1159	PI550922	111.83	121.05	127.41	128.97	138.21	101	209	135
unclassified	unclassified	1160	AMES27148	114.37	122.83	130.21	130.41	132.25	93	126	58
unclassified	unclassified	1161	CIZE89	111.85	122.65	128.28	127.56	130.55	95	144	63
unclassified	unclassified	1162	PI406106	117.76	125.04	127.57	131.23	127.91	75	128	43
unclassified	unclassified	1163	PI550491	116.26	123.63	128.89	126.01	115.26	72	118	49
tropical	tropical	1164	PI550918	115.33	124.69	126.39	127.51	130.25	93	142	44
unclassified	unclassified	1165	CIZE64	118.02	124.63	131.09	130.67	134.46	94	118	61
unclassified	unclassified	1166	PI594056	116.92	124.2	127.74	129.02	125.48	80	141	67
popcorn	unclassified	1167	PI340844	112.55	122.14	128.78	128.01	136.61	81	111	56
landraces	landraces	1168	AMES30534	115.16	124.61	126.38	129.59	133.95	81	141	62
unclassified	unclassified	1169	AMES12816	117.26	122.81	127.65	129.6	128.88	88	121	53
unclassified	unclassified	1170	PI520771	116.42	123.75	128.02	129.47	131.18	81	133	50
unclassified	unclassified	1171	NSL437934	111.95	121.36	127.07	127.18	130.43	88	140	67
unclassified	unclassified	1172	AMES26787	113.44	125.43	129.63	130.21	130.43	79	149	91
unclassified	unclassified	1173	AMES26136	117.42	124.88	130.53	131.39	136.58	87	156	86
non-stiff stalk	non-stiff stalk	1174	PI648430	117.07	124.59	130.95	133.06	131.37	81	145	65
unclassified	unclassified	1175	AMES27050	117.26	123.25	124	123.54	121.05	66	117	52
unclassified	unclassified	1176	AMES23426	114.09	121.93	127.16	126.91	120.93	70	121	41
unclassified	unclassified	1177	AMES2331	112.01	122.36	128.85	128.89	127.29	71	146	77
unclassified	unclassified	1178	NSL250299	115.92	122.47	125.79	128.56	132.94	95	171	93
stiff stalk	stiff stalk	1179	AMES2523	112.38	122.96	129.07	129.85	125.47	82	126	73
unclassified	unclassified	1180	AMES22440	117.06	125.14	128.81	130.84	133.03	80	161	84
unclassified	unclassified	1181	PI198901	117.62	124.88	129.49	128.83	129.33	72	156	75
unclassified	unclassified	1182	NSL32734	105.53	117.87	123.75	126.32	126.59	83	138	75
unclassified	unclassified	1183	PI594075	118.2	126.05	128.86	131.12	131.48	84	188	75
unclassified	unclassified	1184	PI550554	114.4	120.76	125.59	124.71	119.09	76	110	51
landraces	landraces	1185	AMES30533	114.08	124.68	131.23	133.75	129.96	87	94	43
unclassified	unclassified	1186	AMES23459	111.7	123.42	129.02	131.32	131.89	81	145	88
unclassified	unclassified	1187	PI406126	108.6	121.58	124.46	125.77	132.67	84	180	160
unclassified	unclassified	1188	AMES22793	117.79	123.7	128.26	127.83	120.32	71	131	58
unclassified	unclassified	1189	AMES27018	119.35	127.64	129.93	132.34	132.23	76	148	67
unclassified	unclassified	1190	AMES28936	115.72	124.25	128.79	129.76	131.24	92	170	90
sweet corn	sweet corn	1191	AMES23510	118.08	124.18	124.84	122.22	122.41	64	78	25
sweet corn	sweet corn	1192	AMES22038	115.27	123.41	124.09	121.38	121.52	65	49	17
non-stiff stalk	non-stiff stalk	1193	PI601788	118.02	125.26	129.94	131.34	133.41	76	149	69
unclassified	unclassified	1194	AMES26800	116.34	126.14	129.78	130.93	136.31	82	168	76
unclassified	unclassified	1195	NSL438010	114.25	122.41	129.08	127.98	133.6	84	94	43
sweet corn	sweet corn	1196	AMES27117	115.04	122.55	125.26	125.89	119.09	70	115	54
unclassified	unclassified	1197	AMES26134	118.28	126.4	129.75	130.14	131.14	77	168	86
unclassified	unclassified	1198	PI638549	121.37	126.48	130.51	128.67	131.65	79	165	81
unclassified	unclassified	1199	PI524969	122.03	126.9	130.99	131.27	131.5	69	166	71
popcorn	unclassified	1200	PI340876	113.47	122.82	127.45	128.97	123.74	78	137	65
tropical	tropical	1201	AMES28184	115.54	122.73	128.5	128.5	137.07	100	168	93
unclassified	unclassified	1202	PI267167	114.93	127.22	129.74	130.77	121.92	69	152	67
non-stiff stalk	non-stiff stalk	1203	PI601319	115.36	123.03	129.04	129.97	130.55	72	150	80
unclassified	unclassified	1204	NSL30875	117.9	124.74	127.91	128.13	128.78	83	207	131
unclassified	unclassified	1205	PI186197	112.77	124.06	128.39	129.91	127.5	91	174	100
unclassified	unclassified	1206	PI594087	119.82	125.4	129.1	131.77	134.22	77	157	60
unclassified	unclassified	1207	PI594091	116.12	124.02	127.89	129.75	133.99	80	154	69
unclassified	unclassified	1208	PI405714	118.89	125.42	127.91	128.09	124.14	68	210	91
unclassified	unclassified	1209	NSL438009	112.73	123.2	129	129.73	130.13	87	115	70
unclassified	unclassified	1210	PI594083	117.49	125.02	127.91	130.55	139.47	80	152	68
unclassified	unclassified	1211	AMES28951	113.23	122.74	128.52	131.76	135.52	84	162	87
unclassified	unclassified	1212	AMES24741	114.67	123.06	126.5	125.38	119.75	64	124	62
unclassified	unclassified	1213	NSL437923	114.59	121.05	125.36	128.27	127.93	81	146	62
unclassified	unclassified	1214	AMES27042	113.15	125.17	126.88	128.43	121.39	69	125	59
unclassified	unclassified	1215	PI572413	111.86	123.34	129.62	130.74	130.12	81	145	66
unclassified	unclassified	1216	NSL52605	118.41	124.27	129.47	130.44	125.86	80	130	62
unclassified	unclassified	1217	NSL32738	113.06	118.33	126.64	126.22	112.65	71	130	51
unclassified	unclassified	1218	PI592734	114.22	123.61	128.72	131.4	133.08	79	164	87
landraces	landraces	1219	AMES30527	110.47	120.8	126.4	126.06	131.7	103	172	80
unclassified	unclassified	1220	AMES12822	121.13	127.43	133.05	134.09	134.58	78	163	81
non-stiff stalk	non-stiff stalk	1221	AMES24704	116.6	124.53	129.51	128.86	127.53	71	120	50
sweet corn	sweet corn	1222	AMES23509	114.2	123.15	126.83	125.63	118.24	65	77	32
unclassified	unclassified	1223	PI550532	116.65	125.38	128.16	124.94	121.63	65	59	26
non-stiff stalk	non-stiff stalk	1224	PI601560	113.54	121.49	126.27	129.04	127.26	75	162	46
unclassified	unclassified	1225	AMES19011	105.5	119.84	124.47	128.13	132.41	87	155	60
unclassified	unclassified	1226	PI601489	114.4	124.81	130.02	133.23	129.44	74	155	75
unclassified	unclassified	1227	AMES27044	113.84	121.39	126.9	126.63	120.39	70	131	43
